time,Title,Url
[2022-10-14],关于组织2023届本科毕业生普通话水平测试报名工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=34942
[2022-09-16],关于做好2022年下半年全国大学英语四、六级考试报名工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=34742
[2022-09-08],第十四届全国大学生数学竞赛报名通知,https://www.math.sdu.edu.cn/info/1025/17545.htm
[2022-05-27],关于2022年6月全国大学英语四、六级考试安排的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=34333
[2022-05-26], 关于做好2022年6月全国大学英语四、六级考试监考人员选派及培训工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=34314
[2022-04-08],山东大学本科生院非事业编制岗位招聘进入考察体检人员名单,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33962
[2022-03-31],山东大学本科生院非事业编制岗位招聘进入面试人员名单,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33832
[2022-03-24],山东大学本科生院非事业编制岗位招聘进入笔试人员名单,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33782
[2022-03-24],本科生院拟聘非事业编制人员公示,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33755
[2022-03-15],关于做好2022年6月全国大学英语四、六级考试报名工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33673
[2022-03-10],山东大学本科生院非事业编制人员招聘公告,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33642
[2021-12-03],关于2021年12月全国大学英语四、六级考试安排的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33135
[2021-12-02],关于做好2021年12月全国大学英语四、六级考试监考人员选派及培训工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=33182
[2021-11-13],关于组织2022届毕业生普通话水平测试的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=32979
[2021-11-04],2021年全国大学生数学竞赛山东大学考场安排,https://www.math.sdu.edu.cn/info/1025/15737.htm
[2021-10-20],关于组织2022届本科毕业生普通话水平测试报名工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=32804
[2021-10-19],第十三届全国大学生数学竞赛报名通知,https://www.math.sdu.edu.cn/info/1025/15612.htm
[2021-10-13],关于招募遴选山东大学帮扶陕西地区教师提升国家通用语言文字能力培训团队的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=32759
[2021-09-14],关于做好2021年12月全国大学英语四、六级考试报名工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=32605
[2021-07-01],关于转发举办2021年山东省学生规范书写汉字大赛的通知,http://oatest.sdu.edu.cn/sdu_cms.jsp?messageId=c5b72e7c-42fa-469f-ab6b-f1dc0a95a32d
[2021-06-02],关于2021年6月全国大学英语四、六级考试安排的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=32242
[2021-05-27],关于做好2021年6月全国大学英语四、六级考试监考人员选派及培训工作通知,http://oatest.sdu.edu.cn/sdu_cms.jsp?messageId=133580ff-feb0-4ea9-9d1a-e1318f42887e
[2021-05-01],关于《“四史”教育系列专题》的开课通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=32063
[2021-03-25],关于转发举办2021年山东省中华经典诵吟大赛的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=31792
[2021-03-15],关于召开2021年春季学期本科教育工作会议的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=31704
[2021-03-15],关于做好2021年6月全国大学英语四、六级考试报名工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=31693
[2020-12-04],关于2020年12月全国大学英语四、六级考试安排的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=31272
[2020-11-30], 关于做好2020年12月全国大学英语六级考试监考人员选派及培训工作通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=31243
[2020-11-23],2020年全国大学生数学竞赛山东大学考场安排,https://www.math.sdu.edu.cn/info/1025/14204.htm
[2020-11-18],关于青岛校区全国大学英语四、六级考试无线听力应急备用设备启用的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=31112
[2020-11-13],关于组织2021届毕业生普通话水平测试的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=31072
[2020-11-03],关于做好2020年12月全国大学英语四、六级考试(笔试)补报工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=31012
[2020-10-25],关于编制2021年春季学期教学执行计划的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30952
[2020-10-22],第十二届全国大学生数学竞赛报名通知,https://www.math.sdu.edu.cn/info/1025/13966.htm
[2020-10-20],关于组织2021届本科毕业生普通话水平测试报名工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30903
[2020-09-28],关于山东大学入选教育部第二批新工科研究与实践项目的公示,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30684
[2020-09-23],第十一届山东省大学生数学竞赛报名通知,https://www.math.sdu.edu.cn/info/1025/13786.htm
[2020-09-22],第八届“环境与健康”菁英班招生通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30646
[2020-09-21],关于公布2020年强基计划校内补充选拔结果的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30632
[2020-09-14],关于2020年9月全国大学英语四、六级考试安排的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30552
[2020-09-12],关于生物医学科学专业面向2020级新生选拔招生工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30542
[2020-09-04],关于举办2020年线上线下混合式一流课程申报辅导培训的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30476
[2020-09-04], 关于做好2020年9月全国大学英语四、六级考试监考人员选派及培训工作通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30475
[2020-09-04],关于在2020级本科新生中补充选拔强基计划学生的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30474
[2020-06-26],关于做好2020年7月全国大学英语四、六级考试监考人员选派及培训工作通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=30147
[2020-06-11],关于转发举办2020 年山东省中华经典诵读系列活动的通知,http://oatest.sdu.edu.cn/sdu_cms.jsp;jsessionid=2CD7F82CAFADB129FAC31C0BB36DF5B3?messageId=4c8f5e6e-f94a-4e21-bcbb-284378ff89aa
[2020-05-19],关于征集作品参加2020年山东省教师书法篆刻大赛的通知,http://oatest.sdu.edu.cn/sdu_cms.jsp?messageId=6d98f86f-9d66-4d60-9add-5cfd5b87e9d5
[2020-03-06],关于推迟2020年上半年全国大学英语四六级考试网上报名工作的公告,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=29270
[2019-12-06],关于安排2019年12月全国大学英语四、六级考试的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28874
[2019-11-29],关于做好全国大学英语四、六级考试监考人员选派及培训工作通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28843
[2019-11-21],关于召开本科人才培养方案修订专题会议的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28792
[2019-11-15],关于组织2020届本科毕业生普通话水平测试的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28756
[2019-10-29],关于举办“正大杯”第十届全国大学生市场调查与分析大赛暨第九届海峡两岸大学生市场调查与分析大赛大陆地区选拔赛的通知,http://glzx.glxy.sdu.edu.cn/info/1020/11961.htm
[2019-10-25],关于山东大学2019-2020学年本科生缴费的通知,http://www.cwc.sdu.edu.cn/2019/1024/c224a42117/page.htm
[2019-10-22],2019年全国大学生数学竞赛山东大学考场安排,http://www.math.sdu.edu.cn/info/1025/12607.htm
[2019-10-22],关于2019年度教学型教师高级职称及岗位申报人员报送现场听课评价申请的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28604
[2019-09-16],关于做好2019年12月全国大学英语四、六级考试报名工作的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28438
[2019-09-12],关于召开一校三地本科教育工作会的通知,http://portal.sdu.edu.cn/home/-/announcement/wW7u/d4453abc-bb4c-4a9e-bc81-e186d51f2084
[2019-09-04],第十一届全国大学生数学竞赛报名通知,http://www.math.sdu.edu.cn/info/1025/12367.htm
[2019-08-31],生物医学科学专业面向2019级新生选拔招生专题,http://www.bms.sdu.edu.cn/info/1132/7909.htm
[2019-08-29],关于山东大学管理学院工商管理创新实验班、智能工程与管理创新实验班2019级学生选拔工作的通知,http://www.glxy.sdu.edu.cn/info/1048/3527.htm
[2019-07-17],山东大学2019-2020学年在校学生缴费须知,http://portal.sdu.edu.cn/home/-/announcement/wW7u/4d9be955-46c1-44fe-906c-5453267828c4
[2019-07-12],关于举办一校三地本科教务管理人员培训研讨会的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28234
[2019-06-19],关于开启电子离校系统的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28087
[2019-06-12],关于2019年6月全国大学英语四、六级考试的补充通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=28022
[2019-06-04],关于安排2019年6月全国大学英语四、六级考试的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=27972
[2019-05-30], 关于做好全国大学英语四、六级考试监考人员选派及培训工作通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=27922
[2019-05-29],2018年度本科教学业绩专项绩效工资分配情况,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=27898
[2019-05-15],山东大学2019年综合评价招生简章,http://www.bkzs.sdu.edu.cn/info/1028/1340.htm
[2019-05-14],关于开展本科教学荣誉评审奖励推荐工作的通知,http://portal.sdu.edu.cn/home/-/announcement/wW7u/780c6948-c699-4b82-8fd4-02934addcda8
[2019-04-15],关于公布应聘2019年4月山东大学本科生院非事业编制岗位参加面试人员名单的通知,https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1013&wbnewsid=27394
